game_id,team_id,team_position,champion_name,win
5888741970,200,MIDDLE,Zed,true
5888741970,200,BOTTOM,Xayah,true
5888741970,200,UTILITY,Rakan,true
5893315070,100,TOP,Malphite,true
5893315070,100,JUNGLE,Graves,true
5893315070,100,MIDDLE,Xerath,true
5893315070,100,BOTTOM,Ezreal,true
5893315070,100,UTILITY,Karma,true
5893315070,200,TOP,Sion,false
5893315070,200,JUNGLE,MonkeyKing,false
5893315070,200,MIDDLE,Anivia,false
5893315070,200,BOTTOM,Lucian,false
5893315070,200,UTILITY,Nami,false
5893208550,100,TOP,Azir,false
5893208550,100,JUNGLE,MonkeyKing,false
5893208550,100,MIDDLE,Lux,false
5893208550,100,BOTTOM,Draven,false
5893208550,100,UTILITY,Bard,false
5893208550,200,TOP,Riven,true
5893208550,200,JUNGLE,Zac,true
5893208550,200,MIDDLE,TwistedFate,true
5893208550,200,BOTTOM,Jhin,true
5893208550,200,UTILITY,Karma,true
5893163182,100,TOP,Azir,true
5893163182,100,MIDDLE,Ahri,true
5893163182,100,JUNGLE,Khazix,true
5893163182,100,BOTTOM,Ezreal,true
5893163182,100,UTILITY,Bard,true
5893163182,200,TOP,Gangplank,false
5893163182,200,JUNGLE,Zac,false
5893163182,200,MIDDLE,Kayle,false
5893163182,200,BOTTOM,Draven,false
5893163182,200,UTILITY,Nautilus,false
5893096365,100,TOP,Yone,false
5893096365,100,JUNGLE,Viego,false
5893096365,100,MIDDLE,Orianna,false
5893096365,100,BOTTOM,Zeri,false
5893096365,100,UTILITY,Kayle,false
5893096365,200,TOP,Riven,true
5893096365,200,JUNGLE,Kayn,true
5893096365,200,MIDDLE,Yasuo,true
5893096365,200,BOTTOM,Veigar,true
5893096365,200,UTILITY,Nami,true
5893091120,100,TOP,Shen,false
5893091120,100,JUNGLE,Zac,false
5893091120,100,MIDDLE,Viktor,false
5893091120,100,BOTTOM,Aphelios,false
5893091120,100,UTILITY,Lulu,false
5893091120,200,TOP,Akali,true
5893091120,200,JUNGLE,MonkeyKing,true
5893091120,200,MIDDLE,Yasuo,true
5893091120,200,BOTTOM,Ezreal,true
5893091120,200,UTILITY,Karma,true
5894546153,100,TOP,Riven,true
5894546153,100,JUNGLE,Graves,true
5894546153,100,MIDDLE,Akali,true
5894546153,100,BOTTOM,Lux,true
5894546153,100,UTILITY,Pyke,true
5894546153,200,TOP,Kled,false
5894546153,200,JUNGLE,Kindred,false
5894546153,200,MIDDLE,Leblanc,false
5894546153,200,BOTTOM,Lucian,false
5894546153,200,UTILITY,Braum,false
5894438358,100,TOP,Ornn,true
5894438358,100,JUNGLE,Taliyah,true
5894438358,100,MIDDLE,Tristana,true
5894438358,100,BOTTOM,Kaisa,true
5894438358,100,UTILITY,Sona,true
5894438358,200,TOP,Graves,false
5894438358,200,JUNGLE,MonkeyKing,false
5894438358,200,MIDDLE,Katarina,false
5894438358,200,BOTTOM,Ezreal,false
5894438358,200,UTILITY,Renata,false
5894344963,100,TOP,Ornn,true
5894344963,100,JUNGLE,LeeSin,true
5894344963,100,MIDDLE,Orianna,true
5894344963,100,BOTTOM,Samira,true
5894344963,100,UTILITY,Sona,true
5894344963,200,TOP,Gangplank,false
5894344963,200,JUNGLE,Viego,false
5894344963,200,MIDDLE,Katarina,false
5894344963,200,BOTTOM,Kaisa,false
5894344963,200,UTILITY,Taric,false
5893256559,100,MIDDLE,Katarina,true
5893256559,100,JUNGLE,MonkeyKing,true
5893256559,100,TOP,Kayle,true
5893256559,100,BOTTOM,Kaisa,true
5893256559,100,UTILITY,Pyke,true
5893256559,200,TOP,Riven,false
5893256559,200,JUNGLE,Talon,false
5893256559,200,MIDDLE,Cassiopeia,false
5893256559,200,BOTTOM,Draven,false
5893256559,200,UTILITY,Nami,false
5892906194,100,TOP,Yasuo,false
5892906194,100,JUNGLE,Zac,false
5892906194,100,MIDDLE,TwistedFate,false
5892906194,100,BOTTOM,Xayah,false
5892906194,100,UTILITY,Nautilus,false
5892906194,200,TOP,Sion,true
5892906194,200,JUNGLE,Nunu,true
5892906194,200,MIDDLE,Veigar,true
5892906194,200,BOTTOM,Tristana,true
5892906194,200,UTILITY,Renata,true
5895064181,100,TOP,Gangplank,false
5895064181,100,JUNGLE,Taliyah,false
5895064181,100,MIDDLE,Katarina,false
5895064181,100,BOTTOM,Tristana,false
5895064181,100,UTILITY,Yuumi,false
5895064181,200,TOP,Teemo,true
5895064181,200,JUNGLE,Volibear,true
5895064181,200,MIDDLE,Kayle,true
5895064181,200,BOTTOM,Zeri,true
5895064181,200,UTILITY,Lulu,true
5894808197,100,TOP,Renekton,true
5894808197,100,JUNGLE,LeeSin,true
5894808197,100,BOTTOM,Draven,true
5894808197,100,MIDDLE,Malzahar,true
5894808197,100,UTILITY,Nautilus,true
5894808197,200,TOP,Darius,false
5894808197,200,JUNGLE,Zed,false
5894808197,200,MIDDLE,Viktor,false
5894808197,200,BOTTOM,Ezreal,false
5894808197,200,UTILITY,Lulu,false
5893645820,100,TOP,Gwen,false
5893645820,100,JUNGLE,Taliyah,false
5893645820,100,MIDDLE,Annie,false
5893645820,100,BOTTOM,Samira,false
5893645820,100,UTILITY,Nautilus,false
5893645820,200,TOP,Teemo,true
5893645820,200,JUNGLE,Graves,true
5893645820,200,MIDDLE,Yone,true
5893645820,200,BOTTOM,Karthus,true
5893645820,200,UTILITY,Nami,true
5893618309,100,TOP,Teemo,true
5893618309,100,JUNGLE,Viego,true
5893618309,100,MIDDLE,Akali,true
5893618309,100,UTILITY,Zilean,true
5893618309,100,BOTTOM,Vayne,true
5893618309,200,BOTTOM,Viktor,false
5893618309,200,JUNGLE,Talon,false
5893618309,200,MIDDLE,Sylas,false
5893618309,200,TOP,Yasuo,false
5893618309,200,UTILITY,Pyke,false
5893563630,100,TOP,Teemo,true
5893563630,100,JUNGLE,Zed,true
5893563630,100,MIDDLE,Taliyah,true
5893563630,100,UTILITY,Rakan,true
5893563630,100,BOTTOM,Xayah,true
5893563630,200,TOP,Camille,false
5893563630,200,JUNGLE,Talon,false
5893563630,200,MIDDLE,Ahri,false
5893563630,200,BOTTOM,Karma,false
5893563630,200,UTILITY,Senna,false
5893457663,100,TOP,Graves,true
5893457663,100,JUNGLE,Gwen,true
5893457663,100,MIDDLE,Rumble,true
5893457663,100,BOTTOM,Draven,true
5893457663,100,UTILITY,Renata,true
5893457663,200,TOP,Jax,false
5893457663,200,JUNGLE,MonkeyKing,false
5893457663,200,MIDDLE,Veigar,false
5893457663,200,BOTTOM,Sivir,false
5893457663,200,UTILITY,Pyke,false
5893481615,100,TOP,Gangplank,true
5893481615,100,JUNGLE,Lillia,true
5893481615,100,MIDDLE,Yone,true
5893481615,100,BOTTOM,Kaisa,true
5893481615,100,UTILITY,Nautilus,true
5893481615,200,TOP,Vladimir,false
5893481615,200,JUNGLE,MonkeyKing,false
5893481615,200,MIDDLE,Malphite,false
5893481615,200,BOTTOM,Zeri,false
5893481615,200,UTILITY,Zilean,false
5893039908,100,TOP,Cassiopeia,true
5893039908,100,JUNGLE,Talon,true
5893039908,100,MIDDLE,Ahri,true
5893039908,100,BOTTOM,Kaisa,true
5893039908,100,UTILITY,Nautilus,true
5893039908,200,TOP,Ornn,false
5893039908,200,JUNGLE,Khazix,false
5893039908,200,MIDDLE,Vex,false
